cleaned_comment	orig_lang	speech	cGood
Eventually I was, there you go - to make economic aid for example for countries that develop economically and that limits their immigration to Europe. I totally agree, it's positive, but I think it's mostly for the African continent. In the case of China, it is completely different: In China, they already have this economic development, the Chinese who leave China to come to Europe, it's not because they are poor, it's because in China the problem is different, and therefore it's not by helping China - which doesn't need economic aid at all - that it won't limit Chinese immigration, so it's true that we really have to moderate the solutions we want to put in place to limit illegal migration because it's not applicable in a general way. It's really, I think, something that needs to be done so reacting between countries, one country and Europe, rather in a way of making a general policy.	fr	[05:07] Eventuellement j’étais, voilà – de faire une aide économique par exemple pour les pays qui développent économiquement et ça limite leur immigration vers l’Europe. Là je suis tout à fait d’accord, c’est positif mais je pense que ça concerne surtout le continent Africain. Pour le cas de la Chine, c’est complètement différent : En Chine, ils ont déjà ce développement économique, les Chinois qui quittent la Chine pour venir en Europe, ce n’est pas parce qu’ils sont pauvres c’est, parce qu´en Chine le problème est différent, et donc ce n’est pas en aidant la Chine - qui n’a pas du tout besoin d’aide économique, que ça ne va pas limiter l’immigration Chinoise, donc c’est vrai qu’il faut vraiment bien modérer les solutions qu’on veut mettre en place pour limiter la migration clandestine parce qu’elle n’est pas applicable de façon générale. C’est vraiment, je pense, quelque chose qu’il faut faire donc réagir entre pays, un pays et l’Europe, plutôt en façon de faire une politique générale. [06:01]	1
. Obviously building businesses there is difficult, the intention is good but I think that in practice it is not very feasible. I think what we need to do is to talk to the people in charge of politics in Europe so that this - in a first phase try to establish order in these African countries, because what we are doing at the moment is not at all that and so what we really need to do is to give these people the possibility to feel comfortable in their own country, in their own continent and there I think that the European Union must absolutely do something.	fr	[33:32]. Evidemment construire des entreprises là-bas, c’est difficile, l’intention est bonne mais je pense que dans la pratique ce n’est pas très faisable. Moi en tout cas je pense ce qu’il faut faire c’est la chose suivante, c'est-à-dire que parler aux responsable de la politique en Europe afin que cela – dans une première phase essayer d’établir en ordre dans ces pays africains, car ce que nous faisons à l’heure actuelle ce n’est pas du tout ça et donc ce qu’il faut vraiment faire c’est de donner à ces gens-là la possibilité de se sentir à l’aise dans leur propre pays, dans leur propre continent et là je pense que l’Union Européenne doit absolument faire quelque chose. [34:27]	0
It is quite a problematic case. I think that the country plays an important role with helping immigrants. Let’s say that a concrete person would like to stay and live in a certain country, and then the government should ensure the normal development of such a family, especially the youngest members of this immigrant’s family. So at least one person of this family will have a higher education and no matter if he lived in Germany or Italy, he would have a better start and would integrate not only in the family’s country from which she escaped but also in the whole Europe. Here, the most important is education system and health care system and for that the country should give money.	pl	[19:22]It is quite a problematic case. I think that the country plays an important role with helping immigrants. Let’s say that a concrete person would like to stay and live in a certain country, and then the government should ensure the normal development of such a family, especially the youngest members of this immigrant’s family. So at least one person of this family will have a higher education and no matter if he lived in Germany or Italy, he would have a better start and would integrate not only in the family’s country from which she escaped but also in the whole Europe. Here, the most important is education system and health care system and for that the country should give money.[20:13]	0
It's true that I think that there is something. There is a real legislation on immigration. But it's not. For me it's just an idea, I can't say that categorically. [1 :	fr	[1 :18 :11] C’est vrai que moi, je pense qu’il y a quelque chose. Il y a une législation vraiment sur l’immigration. Mais bon. Pour moi c’est simplement une idée je ne peux pas affirmer de ça catégoriquement. [1 :18 :24]	0
...of whether there is a European will to address the problem. Because if a country breaks away and, I'll take an example now, Portugal decides that all illegal immigrants are no longer illegal, then they are quasi-legal, they can go everywhere because of the EU freedom of movement, and we all have the problem again. So we would then fall back into a nation-state problem, where everyone has to find his own solution. So either we all do something and agree on it, or everyone has to solve it somehow for themselves. But I think the point of the EU is that we act together on this solution and not just leave the countries that are most affected to their own problems, so to speak, for now. Of course, we Central Europeans are in the clear, because we can always say that the illegals come from the next country, so we can send them back first. It's also very popular, because there's no war or anything, but we have to be aware of how unpopular these measures are in the border countries, i.e. the border countries of the EU. And we simply have to support them. There is no way around it. And that's where we should take up Wolf's question, how we are prepared to have our politicians actually enforce these unpopular measures.	de	[12:37] …davon, ob es einen europäischen Willen gibt, das Problem anzugehen. Denn wenn ein Land ausschert und quasi, ich nehm jetzt ein Beispiel, Portugal beschliesst alle illegalen Einwanderer sind gar nicht mehr illegal, dann sind die ja quasi legal, können durch die EU- Freizügigkeit überall hin und wir haben alle wieder das Problem. Also würden wir dann wieder in ein Nationalstaat-Problem zurückgreifen, wo jeder dann seine eigene Lösung finden muss. Also entweder wir tun alle was und sind uns da einig, oder jeder muss es irgendwie für sich lösen. Aber ich denke, der Sinn der EU ist, dass wir gemeinsam an dieser Lösung agieren und nicht einfach die Länder, die am meisten betroffen sind, erstmal sozusagen ihren eigenen Problemen überlassen. Klar sind wir Mitteleuropäer fein raus, weil wir immer sagen können, die Illegalen kommen aus dem nächsten Land, da können wir sie erstmal zurück schicken. Ist auch sehr schön populär, denn da ist ja auch kein Krieg oder so. aber wir müssen uns schon klar sein, wie unpopulär diese Massnahmen in den Grenzländern, also Grenzländern der EU sind. Und die müssen wir einfach unterstützen. Da geht kein Weg daran vorbei. Und da sollten wir eben die Frage von Wolf aufgreifen, wie wir bereit sind, unsere Politiker diese unpopulären Massnahmen auch wirklich durchzusetzen. [13:58]	2
During the break, I thought about what we were saying earlier and I think that already, between men and women, we don't have the same sense of sensitivity regarding immigration. If I look around this table, I have the impression that women in general, I am sorry for the gentlemen, are more tolerant and more open to a certain form of cultural mix and integration and men are more recalcitrant, we will say, to this opening. Having said that, I listened to what was said just now, and I asked myself two questions, which are fundamental questions; when we are dealing with the problem of immigration, first of all, what do the immigrants expect from us and what do we expect from them? So, there were some answers already, we expect them to be hard-working, to be courageous, to be honest, to be respectful, okay? And so that's what we expect from them. And what do they expect from us? Well, they can expect certain things. We're talking about legal immigration. They can wait to have a good job, they can wait to find themselves with that good job in a peaceful country, they can also wait, if they already have family, in the ten countries, to be able to find, join their family. Okay, they have all the right reasons to want to come here. But there are always counterparts and it is true that we cannot tolerate all of them and I think that we must put a B on this and say that immigration works well if it is controlled. If we don't do anything, because by wanting to integrate all these people, by wanting to get all the misery in the world, we create frustrated people in our countries, we create people who may be unemployed, they may think - rightly or wrongly - that it is the immigrant who has taken a potential job. As a result, there is a risk of tension, rivalry and animosity. Is immigration at all costs good, even for us? We really have to think about this. I say that welcoming people is very good, I am in favor of diversity, I am in favor of all these mixtures and integrations, but we must not let it be too much, because too much is necessarily to the detriment of one or the other party. It can be really even downright damaging, you have to be extremely careful.	fr	[07 :40] J’ai réfléchi pendant la pause à ce qu’on se disait tout à l’heure et je trouve que déjà, entre les hommes et les femmes, nous n’avons pas le même sens de sensibilité par rapport à l’immigration. Si je regarde un petit peu autour de cette table, j’ai l’impression que les femmes en général, je suis désolée pour les messieurs, sont plus tolérantes et plus ouverte à une certaine forme de mixité culturelle et d’intégration et les hommes sont plus récalcitrant, on va dire, à cette ouverture. Ceci dit, j’ai écouté ce qu’on vient de dire là tout de suite, alors je m’ai posé deux questions, qui sont quand-même des questions fondamentales ; quand-on a affaire au problème d’immigration, d’abord, qu’est-ce que les immigrés attend de nous est qu’est-ce que nous, nous attendons d’eux ? Alors, il y a eu une partie des réponses déjà, on attend d’eux qu’ils soient travailleurs, qu’ils soient courageux, qu’ils soient honnêtes, qu’ils soient respectueux, d’accord ? Et donc ça c’est ce que nous attendons d’eux. Et eux, qu’attendent-ils de nous ? Alors, ils peuvent attendre certaines choses. On parle de l’immigration légale. Ils peuvent attendre d’avoir un bon travail, ils peuvent attendre de se retrouver avec ce bon travail dans un pays en paix, ils peuvent attendre également, s’ils ont déjà de la famille, dans les dix pays, de pouvoir retrouver, rejoindre leur famille. Ok, ils ont tout en soi des bonnes raisons pour vouloir venir chez nous. Mais, il y a toujours des contreparties et c’est vrai qu’on ne peut pas tous tolérer non plus et je pense qu’il faut mettre un B mol à tout ça et dire que l’immigration, ça marche bien si quand-même elle est contrôler. Si on ne fait pas n’importe quoi, parce que à vouloir intégrer tous ces gens, à vouloir récupérer toute la misère du monde, on fait des frustrés dans nos pays, quand-même, c’est vrai, on fait des frustrés chez nous, on fait des gens qui vont peut-être être au chômage, ils vont peut-être penser – à tort ou à raison – que c’est l’immigrant, l’immigré qui lui à piquer un job potentiel. De ce fait, il risque d’y avoir des tensions, des rivalités, des animosités. Est-ce que l’immigration à tout prix c’est bon, même pour nous ? Il faut vraiment réfléchir à ça quoi je dis le fait d’accueillir des gens c’est très bien, je suis pour la mixité, je suis pour tous ces mélanges et toutes ces intégrations, mais il ne faut pas non plus que ce soit trop, parce que trop c’est au détriment forcement de l’une ou de l’autre partie. Ça peut être vraiment même carrément dommageable, il faut faire extrêmement  d’attention. [10 :47]	0
When it comes to assimilation within the EU, whether we talk about economic, or any other immigrants, if their culture and roots are similar, the integration will not be so hard at all. However, when one has a different cultural background, the assimilation is not easy. Or in other words, I could say that one can promote assimilation of people with similar cultural backgrounds, and it seems to me that the chances will be much bigger than chances of people with different cultural backgrounds.	pl	[04:56] When it comes to assimilation within the EU, whether we talk about economic, or any other immigrants, if their culture and roots are similar, the integration will not be so hard at all. However, when one has a different cultural background, the assimilation is not easy. Or in other words, I could say that one can promote assimilation of people with similar cultural backgrounds, and it seems to me that the chances will be much bigger than chances of people with different cultural backgrounds. [05:37]	0
Some countries have much more illegal immigration due to their geographic location, like Spain for example, and other countries send their immigrants on to other countries where the economic situation is better, much more attractive for people.	de	[29:09] Manche Länder haben sehr viel mehr illegale Einwanderung bedingt durch ihre geographische Lage wie Spanien etwa, und andere Länder wieder schicken dann sozusagen ihre Einwanderer in andere Länder wieder weiter wo die Wirtschaftslage wieder besser ist, viel attraktiver für die Leute. [29:31]	0
I'll pick up again what was said. So the problem is the language. But with us, it's not a problem in Spain. If the Maghrebians arrive, two months later they speak. Not perfectly, but they speak enough Spanish. They definitely understand everything and we can understand them. So the problem with us is not shaped like that. So it has nothing to do with the language. The Romanians, it's incredible how quickly they learned Spanish. Even before they came to the Union. I think necessity is the mother of invention, let's say. Because you have to learn there. But English people, for example, they don't learn a word of Spanish. So those who live with us, there are quite a few, Germans and English, and they don't make any effort. I have English neighbors. Very nice. We have established friendly ties. But not a word of Spanish. Not even after a long time. Especially the men are not very good. Apparently, the gentlemen of creation have even more difficulties with the language. Maybe the women have an easier access. Be that as it may, that is the situation. The English gentlemen in particular have made no effort at all to speak just one word of Spanish. Well, now, in order to integrate somehow, you have to manage to communicate with people you live with. That's the only way to integrate. Now the illegal immigrants: it has been said that there are none. So, somehow nobody is illegal. That is a term that is not correct. We can't say that a human being is illegal. One can commit illegal acts. But for a human being or a human being to be illegal, where are we going?	de	[59:38] ich werde nochmals aufgreifen, was gesagt wurde. Also das Problem sei die Sprache. Bei uns aber ist es kein Problem in Spanien. Kommen die Maghrebiner an, zwei Monate später sprechen sie. Nicht perfekt, aber sie sprechen ausreichend Spanisch. Sie verstehen auf jeden Fall alles und wir können sie verstehen. Also das Problem bei uns ist nicht derart gestaltet. Also es hat nichts mit der Sprache zu tun. Die Rumänen, es ist doch unglaublich, wie schnell sie Spanisch gelernt haben. Noch bevor sie in die Union kamen. Ich glaube, Not macht erfinderisch, sagen wir mal. Denn man muss da lernen. Aber Engländer zum Beispiel, die lernen kein Wort Spanisch. Also die bei uns wohnen, da gibt es eine ganze Menge, Deutsche und Engländer, und die bemühen sich nicht. Also ich hab englische Nachbarn. Sehr nett. Wir haben freundschaftliche Bande geknüpft. Aber kein Wort Spanisch. Auch nach längerer Zeit nicht. Insbesondere die Männer sind da nicht besonders. Offenbar haben die Herren der Schöpfung noch mehr Schwierigkeiten mit der Sprache. Vielleicht haben die Frauen einen leichteren Zugang. Wie dem auch sei, das ist die Situation. Insbesondere die englischen Herren haben überhaupt keine Anstrengung unternommen, um nur ein Wort Spanisch zu sprechen. Nun, um uns nun irgendwie zu integrieren, muss man es schaffen, mit Leuten, mit denen man lebt, zu kommunizieren. Nur so kann man sich integrieren. Nun die illegalen Einwanderer: Es wurde ja gesagt, es gibt keine. Also, irgendwie ist doch niemand illegal. Das ist ein Begriff, der nicht richtig ist. Wir können doch nicht sagen, ein menschliches Wesen ist illegal. Man kann illegale Handlungen begehen. Aber dass ein Mensch oder ein menschliches Wesen illegal ist, wo kommen wir denn da hin? [1:01:55]	0
I have separated friends who are looking for daycare for their children and they are not given the daycare. So, for immigrants, then from one of the aids for schools, to find places in day care, for apartments, housing, and so finally, there is no more right, there is no more equity. I don't know what you think, but this is really incredible. On top of that, well, there are people who come to Spain, well, there are murderers, thieves... These people come in space and that makes me (...). So a (...) or a (...), it's quite normal.	fr	[10:53] J’ai des amies séparées qui cherchent des garderies pour leurs enfants et on leur donne pas les crèches. Alors, pour les immigrés, alors d’un des aides pour les écoles, pour trouver les places dans les garderies, pour les appartements, les logements, et donc finalement, il n’y a plus de droit, il n’y a plus d’équité. Je ne sais pas que vous en pensez vous mais voilà, c’est vraiment incroyable. Par-dessus le marché, bon il y a des gens qui viennent en Espagne, bon, il y a des assassins, des voleurs… Ces gens viennent en espace et ça me (…). Alors une (…) ou une (…), c’est tout à fait normal. [11 :38]	1
"I think we have to stop [...] saying ""we have to give subsidies"". That's not true. It's not grants that their wrong. It's brains. You have to go and help them. When you see - we send them boxes of milk, that they don't have a bucket to heat milk ? But it's not that. They just want to be like us but in their country they follow their know-how. We don't need millions and millions."	fr	[25:24] Je pense qu’il faut arrêter de nous […] en disant « il faut donner des subventions ». Ce n’est pas vrai. Ce n’est pas des subventions qui leurs faux. C’est des cerveaux. Il faut aller les aider. Quand vous voyer – on leur envoie des boites de lait, qu’ils n’ont pas de seau pour faire chauffer lait[ ?]. Mais ce n’est pas ça. Ils veulent simplement être comme nous mais dans leur pays, ils suivent leur savoir-faire. On n’a pas besoin des millions et des millions. [25 :51]	0
I would like to come back to what Johann said, so there we can easily detect what the opinions are in Europe. We in Austria, for example, have lived through the war in the former Yugoslavia very closely, we are a neighbouring country, we have lived through the same thing with the Czech Republic and with Czechoslovakia in '68 or with Hungary in '56, so Austria has always lived very close to the border of these events, a border that fortunately no longer exists, and so Austria already at that time welcomed refugees from all these countries. And these people were really welcome, but that changed immediately, unfortunately, so when they were more or less integrated, we wanted to send them back to their countries, but of course it didn't work, and in our country there are also very, very different politicians; for example, the politicians that we have now in Austria, for example, have no longer really experienced this phenomenon of refugees from Hungary and so on in their own [lives], so they don't really understand. The new generation has not experienced these dramas anymore so they have a completely different attitude and so this problem is only an Austrian problem but it has to be multiplied by 27 because we obviously have a very very different situation in the different countries of the European Union and even within the countries the situation sometimes changes so it is really not easy to find common solutions. Thank you.	fr	[38:38] Moi je voudrais bien revenir à ce que Johann a dit, donc là on détecte facilement quelles sont les avis en Europe. Nous par exemple en Autriche évidemment nous avons vécu cette guerre en Ex-Yougoslavie de très proche, nous sommes un pays voisin, nous avons vécu la même chose avec la République Tchèque et avec la Tchécoslovaquie en 68 ou avec la Hongrie en 56, donc l’Autriche a toujours vécu tout près de la frontière de ces événements-là, d’une frontière qui heureusement n’existe plus et donc l’Autriche à l’époque déjà a accueilli de réfugiés en provenance de tous ces pays-là. Et ces gens étaient vraiment les bienvenues mais cela a tout de suite changé, il faut le dire, malheureusement donc quand ils étaient plus ou moins intégrés, on a voulu les renvoyer dans leurs pays mais évidemment ça ne marchait pas et chez nous il y a également des hommes politiques très très différents ; il y avait par exemple les hommes politiques que nous avons à l’heure actuelle en Autriche par exemple n’ont plus vraiment vécu ce phénomène des refugiés en provenance d’Hongrie et cetera dans leur propre [vie] donc ils ne comprennent pas vraiment. La nouvelle génération n’a plus vécu ces drames donc ils ont une attitude tout à fait différente et donc ce problème n’est qu’un problème autrichien mais il faut le multiplier par 27 car nous avons évidemment une situation très très différente selon les pays de l’Union Européenne et même au sein des pays la situation change parfois donc ce n’est vraiment pas facile de trouver des solutions communes. Merci. [40:32]	0
So what we could perhaps do is launch an appeal to the European Parliament so that they start to really develop a policy in this area. Because we have noticed that in practice there is no policy and so we need to create a common platform and so this should really be one of the main priorities because now they are all talking but nobody really dares to intervene. So it has to be a really big priority and maybe one day a solution will be found and then for me also this situation in the document, so a big priority is that the different countries can also increase the fines given to the employers who don't have illegals, so stricter fines, this would be the solution. So obviously now there's a lot of people who are paid half or a quarter of what they should be, there's no social contributions that are paid and so on so the state should intervene more rigorously so that it's really strongly limited.	fr	[47:23] Donc ce qu’on pourrait peut-être faire c’est lancer un appel par rapport aux Parlement Européen pour qu’ils commencent à vraiment développer une politique dans ce domaine-là. Parce qu’on a constaté que dans la pratique il n’y a pas de politique et donc il faut créer une plateforme commune et donc ce soit vraiment une des grandes priorités parce que maintenant ils parlent tous mais personne n’ose vraiment intervenir. Donc il faut que ce soit vraiment une grande priorité et peut-être qu’un jour à ce moment-là une solution sera trouvé et puis pour moi aussi cette situation dans le document, donc une grande priorité consiste à ce que les différents pays puissent aussi augmenter les amendes données aux employeurs qui n’ont pas des illégaux, donc des amendes plus strictes, ce serait la solution. Donc évidemment maintenant il y a beaucoup de gens qui sont payés la moitié ou un quart de ce qu’il faudrait, il n’y a pas de cotisations sociales qui sont payées et cetera donc l’état devrait intervenir plus rigoureusement pour que ce soit vraiment fortement limité. [48:47]	0
I think it's good that you bring the American example. We know, North America, own continent with two borders. They build a wall to the south, to Mexico with thousands of deaths. To the north, there is Canada, they don't need one. The Federal Republic of Germany is surrounded, is surrounded by friends, by EU members. There are highways. And in Germany you can drive without speed limit. And there you drive namely - from Austria, from Belgium, from Switzerland, even in the meantime - you drive smoothly through. I drive from Germany, Bavaria to Austria with 120 or 150 if I want to. Do we want to build borders again? The problem cannot be solved in this way. With border controls, dear Mario, is in Europe - we have 27 dwarf states in comparison, does not work at all; we would have a rat tail of costs, we would have walls, it is already enough the wall around the Palestinians, we can not do, first. Secondly, I have to emphasize again because we are in the EU, we are no longer talking about Spanish, Portuguese workers, because these are not immigrants, but these are EU citizens, that you finally keep it apart.	de	[26:30] Ich finde es gut, dass du das amerikanische Beispiel bringst. Wir wissen, Nordamerika, eigener Kontinent mit zwei Grenzen. Sie bauen eine Mauer nach Süden, nach Mexiko mit tausenden von Toten. Nach Norden, da ist Kanada, brauchen sie keine. Die Bundesrepublik Deutschland ist umgeben, ist umzingelt von Freunden, von EU-Mitgliedern. Da sind Autobahnen. Und in Deutschland darf man ohne Geschwindigkeitsbegrenzung fahren. Und da fährt man nämlich – von Österreich, von Belgien, von Schweiz, sogar inzwischen – fährt man glatt durch. Ich fahre von Deutschland, Bayern nach Österreich mit 120 oder 150 wenn ich will. Wollen wir da wieder Grenzen bauen? Das Problem ist so nicht zu lösen. Mit Grenzkontrollen, lieber Mario, ist in Europa – wir haben 27 Zwergstaaten im Vergleich, geht gar nicht; wir hätten einen Rattenschwanz von Kosten, wir hätten Mauern, es reicht schon die Mauer um die Palästinenser rum, können wir nicht machen, erstens. Zweiten muss ich nochmals betonen weil wir in der EU sind, wir reden nicht mehr von spanischen, portugiesischen Arbeitnehmern, weil das sind keine Einwanderer, sondern das sind EU- Mitbürger, dass man das endlich mal auseinander halten. [27:47]	2
Yes, if the immigrant worker is working well, if there are no problems regarding the law, then surely he is not in conflict with the law, then why can't he become legal? Why is there still problems then?	de	[45:08] Ja, wenn der eingewanderte Arbeiter gut arbeitet, wenn es keine Probleme gibt hinsichtlich des Gesetzes, dann ist er doch nicht in Konflikt mit dem Gesetz, warum kann er denn dann nicht legal werden? Warum gibt es da immer noch Probleme dann? [45:28]	0
In my opinion, those illegal immigrants should be granted legal residence, let them apply for legal stay and work.	pl	[37:43]In my opinion, those illegal immigrants should be granted legal residence, let them apply for legal stay and work. [37:59]	0
1011 Maybe we should find a general regulation with a limited freedom in order that some countries would be able to predict some additional regulations.	pl	1011[09:58] Maybe we should find a general regulation with a limited freedom in order that some countries would be able to predict some additional regulations. [00:16]	0
I think we have enough controls, so in particular on all the construction sites we still have the presence of the police, not regularly, and so I would like to avoid situations where we make certificates. So a lot of controls, so we have enough controls in my opinion, we should not buy back controls.	fr	[06:04] Je crois qu’on a suffisamment de contrôles, donc notamment sur tous les chantiers on a quand-même la présence de la police, pas régulièrement, et donc je voudrais éviter des situations où on fait des certificats. Donc beaucoup de contrôles, donc on a suffisamment de contrôles à mon avis, il ne faut pas racheter de contrôles. [06:26]	0
"I would like to say that I come from a city, Villeurbanne, which is next to Lyon, which is a city that, in 1900 in the 30's when it developed, welcomed a lot of immigrants, especially Spaniards and Italians, and we even have a street in Villeurbanne that is called ""la rue des bienvenus"". That is to say that by the name of a street, we welcome them. In my culture, Spanish and Italian immigrants have been very important. They were part of my culture and I enjoyed being around them. So I think that Europe should be a common skin space where all cultures can meet, mix and enrich each other. Now, on the question of immigration; itself, in particular of the non-European immigrants, who come on the territory of Europe, and who I find brings us the same enrichment as, I say, other populations, the question that I ask myself is basically that I always asked myself: When an immigrant comes to a country, does he not impoverish the country from which he leaves. This is the question I ask myself and obviously if I ask it, I have the answer: In general, it is the most dynamic people who make the superhuman effort to leave the country where they are. This was the case in the countries of war, there were only people who were a little dynamic, risking to be killed or to be caught by crossing the borders and I find that their country of origin misses them a lot. So that's it. That's the question I ask myself. Are we not impoverishing countries that are already poor by taking the best of their population?"	fr	[06 :40] Moi je voudrais dire je viens d’une ville, Villeurbanne, qui est à coté de Lyon, qui est une ville qui, en 1900 dans les années 30 au moment ou elle s’est développée, a accueilli énormément d’immigrés, surtout des espagnols et des italiens, et on a même une rue à Villeurbanne qui s’appelle «la  rue des bienvenus ». C'est-à-dire que par le nom d’une rue, on souhaitait la bienvenue. Moi, dans ma culture à mois, les immigrés espagnols, italiens ont beaucoup compté. Ils ont fait une partie de ma culture et j’ai beaucoup aimé les côtoyer. Voilà, alors je pense que l’Europe, s’(…) un petit peu cet espace de peau commun où toutes les cultures puissent se rencontrer, se mixer, et puis s’enrichir les une les autres. Maintenant, sur la question de l’immigration ; elle-même, en particulier des immigrés non-européen, qui viennent sur le territoire de l’Europe, et qui je trouve nous apporte le même enrichissement que, je dise, d’autres populations, la question que je me pose est au fond que je me suis toujours posé : Quand un immigré vient dans un pays, est-ce qu’il n’appauvrit pas le pays d’où il part. Voila la question que je me pose et évidemment si je la pose, j’ai la réponse : En général, se sont les gens les plus dynamiques, qui font l’effort surhumain de quitter le pays où ils sont. C’était le cas d’ailleurs, c’était le cas dans les pays de guerre, il y avait  que des gens un peu dynamique, risquer de se faire tuer ou de se faire prendre en passant des frontières et je trouve qu’ils manquent beaucoup à leur pays d’origine. Voilà. C’est un petit peu la question que je me pose. Est-ce qu’on n’appauvrit pas des pays qui sont déjà pauvres en leur prendre le meilleur de leur population. [09 :08]	0
If you think, Zbyszek, that army is not necessary; unless you would not want to live in the country where no military is. It would be very dangerous. If this whole budget would be dedicated to immigrants, your country could be ruined because someone will attack you. It would be a very risky venture. Thank you.	pl	[44:55]If you think, Zbyszek, that army is not necessary; unless you would not want to live in the country where no military is. It would be very dangerous. If this whole budget would be dedicated to immigrants, your country could be ruined because someone will attack you. It would be a very risky venture. Thank you.  [45:23]	0
I would like to respond so, Gudrun actually, I also see this problem of language and so in my opinion language is one of the factors. And it doesn't even have to be German, because they come to the European Union, so it would be better to find a solution - I don't know - French, English that they learn at least one language let's say common and so if there is this availability, then it doesn't pose any problems in my opinion.	fr	[59:53] Je voudrais réagir donc, Gudrun effectivement, je vois aussi ce problème de la langue et donc à mon avis la langue est un des facteurs. Et ça ne doit même pas être l’allemand, puisque ils viennent dans l’Union Européenne donc il vaudrait trouver une solution – je ne sais pas – le français, l’anglais qu’ils apprennent au moins une langue disons commune et donc s’il y a cette disponibilité-là, à ce moment-là ça ne pose pas de problèmes à mon avis. [60:27]	0
the selection, so indeed, as far as I am concerned, it is perhaps a threat. I don't think we should give in to that in Europe. We already said earlier that it's afternoon, at this point, we will perhaps choose those who, in the developing country, could contribute to the wealth there. And we will look for them there. We won't take those who are, who have malaria. That's not what we're going to do. We're going to choose the best ones, economically speaking. And so, we must not accept this. I think that we should first have respect for the people who had the courage to come to Europe. First of all. We sometimes underestimate. In a lifetime, you come from a completely different culture, a completely different continent. They come for the money, they say. And of course. And there's nothing wrong with wanting to earn more money. We all would like to. But if you have to select them by criteria, it becomes an economic selection, and you have to refuse that.	fr	[30 :02] la sélection, donc effectivement, en se qui me concerne, c'est peut-être une menace. Je ne pense pas qu’il faille céder a cela en Europe. On a déjà dit toute à l’heure c'est après-midi, a ce moment-là, on va peut-être choisir ceux qui, dans le pays en développement pourraient justement contribuer là-bas à la richesse. Et on va les chercher là-bas. On ne va pas prendre ceux qui sont, qui ont la malaria. Ça c'est pas ce qu’on va faire. On va choisir les meilleures, sous le plan économique. Et donc, ça il faut pas accepter ça. Moi je pense qu’il faut d’abord avoir du respect pour les gens qui ont eu le courage de venir en Europe. Avant tout. On sous-estime parfois. Dans une vie, on vient de toute autre culture, d’un tout autre continent. Ils viennent pour l’argent, dit on. Et bien sur. Et il n’y a pas de mal à vouloir gagner plus d’argent. On le voudrait tous. Mais s’il faut les sélectionner par rapport à des chritères, ça deviendra une sélection économique, et il faut refuser ça. [31 :17]	0
